name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
cairo,2025-01-01,19,10.9,14.9,19,10.9,14.9,8.6,67,0,0,0,,0,0,33.1,16.6,23.5,1027.5,36.3,6.6,138.5,12.2,6,,2025-01-01T06:51:15,2025-01-01T17:06:22,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
cairo,2025-01-02,20,10,14.8,20,9.6,14.8,5.3,56.8,0,0,0,,0,0,38.9,25.9,51.6,1026.6,0,10,162.2,14,6,,2025-01-02T06:51:28,2025-01-02T17:07:05,0.09,Clear,Clear conditions throughout the day.,clear-day,"HECA,62366099999"
cairo,2025-01-03,20,10,14.9,20,9.6,14.9,5.7,55.4,0,0,0,,0,0,38.9,27.7,60,1023.4,26.1,10,159.5,13.6,6,,2025-01-03T06:51:40,2025-01-03T17:07:49,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
cairo,2025-01-04,21,12,16,21,12,16,1.8,40.2,0,0,0,,0,0,23.4,18.4,55.6,1017.1,77.4,10,126,10.8,5,,2025-01-04T06:51:50,2025-01-04T17:08:34,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
cairo,2025-01-05,20,12,15.9,20,12,15.9,5.1,51,0.1,0,0,rain,0,0,35.6,35.3,238.1,1011.4,47.3,6.8,157.7,13.8,6,,2025-01-05T06:51:59,2025-01-05T17:09:20,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
cairo,2025-01-06,20.1,14,16.7,20.1,14,16.7,12.5,78.3,0,0,0,,0,0,38.9,25.9,339.9,1020.2,40.4,7.5,130.8,11.3,6,,2025-01-06T06:52:05,2025-01-06T17:10:06,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
cairo,2025-01-07,20,13,16.3,20,13,16.3,10.4,70.3,0,0,0,,0,0,32.4,20.5,34.4,1023.5,23.9,5.5,147.9,12.7,6,,2025-01-07T06:52:11,2025-01-07T17:10:53,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
cairo,2025-01-08,22,10,15.7,22,9.6,15.6,6.3,57.6,0,0,0,,0,0,29.9,16.6,52.2,1021,12,9.2,167.8,14.6,6,,2025-01-08T06:52:14,2025-01-08T17:11:41,0.3,Clear,Clear conditions throughout the day.,clear-day,"HECA,62366099999"
cairo,2025-01-09,21,10,15.7,21,10,15.7,6.2,54.6,0,0,0,,0,0,17.6,13,352.6,1016.1,4.5,6.5,168.4,14.6,6,,2025-01-09T06:52:16,2025-01-09T17:12:29,0.34,Clear,Clear conditions throughout the day.,clear-day,"HECA,62366099999"
cairo,2025-01-10,20,12.9,16.1,20,12.9,16.1,7.9,58.6,0,0,0,,0,0,33.8,20.5,271.4,1015.1,23.9,5.9,153.2,13,6,,2025-01-10T06:52:17,2025-01-10T17:13:18,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
cairo,2025-01-11,20,14,16.8,20,14,16.8,10.5,67.7,0,0,0,,0,0,29.5,16.6,250.7,1020,45.7,8.3,122.3,10.5,5,,2025-01-11T06:52:15,2025-01-11T17:14:08,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
cairo,2025-01-12,22.8,13,17.1,22.8,13,17.1,8.8,59.9,0,0,0,,0,0,19.1,9.4,96.3,1021.6,15.2,4.4,166.4,14.3,6,,2025-01-12T06:52:12,2025-01-12T17:14:58,0.45,Clear,Clear conditions throughout the day.,clear-day,"HECA,62366099999"
cairo,2025-01-13,23,12,17.3,23,12,17.3,7.3,55.1,0,0,0,,0,0,19.1,13,52.6,1020.6,10.7,8.3,171.1,14.8,7,,2025-01-13T06:52:07,2025-01-13T17:15:48,0.48,Clear,Clear conditions throughout the day.,clear-day,"HECA,62366099999"
cairo,2025-01-14,20,11.9,16,20,11.9,16,9.8,67.8,0,0,0,,0,0,15.1,11.2,356.3,1018.7,29.4,3.8,149,13,6,,2025-01-14T06:52:01,2025-01-14T17:16:39,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
cairo,2025-01-15,20,13.8,16.8,20,13.8,16.8,11.3,72.3,0,0,0,,0,0,24.1,14.8,34.8,1019.3,45.2,4.5,144.3,12.4,7,,2025-01-15T06:51:53,2025-01-15T17:17:30,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
cairo,2025-01-16,21,14,17.2,21,14,17.2,12.6,75.5,0,0,0,,0,0,42.5,27.7,50,1023,66.2,6.6,157.8,13.7,6,,2025-01-16T06:51:43,2025-01-16T17:18:21,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
cairo,2025-01-17,20,14,16.6,20,14,16.6,12.4,78.8,0,0,0,,0,0,42.5,27.7,35.4,1024.6,52.9,7,127.4,11,5,,2025-01-17T06:51:32,2025-01-17T17:19:13,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
cairo,2025-01-18,20.8,13,16.4,20.8,13,16.4,9.4,66.4,0,0,0,,0,0,40,24.1,40.6,1021.8,84.5,10,162.9,14.1,6,,2025-01-18T06:51:19,2025-01-18T17:20:05,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
cairo,2025-01-19,20,12,15.9,20,12,15.9,8.4,62.3,0,0,0,,0,0,31.7,18.4,35.1,1020.5,66.1,8.1,164.3,14.2,6,,2025-01-19T06:51:04,2025-01-19T17:20:57,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
cairo,2025-01-20,21,11,16.1,21,11,16.1,9.4,66,0,0,0,,0,0,20.2,14.8,43.9,1020,58.1,8,161,13.8,6,,2025-01-20T06:50:47,2025-01-20T17:21:50,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
